ProteinAccession__GenomeAcc	GenomeAcc_ScientificName	TaxonomyID	ScientificName	Lineage	GenomeAccession	Genus	Species	GenomeAcc_Lineage	ProteinAccession	RepresentativeSequence	ClusterSequences	mPTPClusterID
AOL02447__KX583629.1	KX583629.1_Adeno-associated virus	272636	Adeno-associated virus	Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Dependoparvovirus;unclassified Dependoparvovirus	KX583629.1	Dependoparvovirus	unclassified Dependoparvovirus	KX583629.1_Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Dependoparvovirus;unclassified Dependoparvovirus	AOL02447	KX583629.1	AOL02447	AOL02447__KX583629.1_Species 20
APC23165__KT961659.1	KT961659.1_Simian erythroparvovirus 2	1920706	Simian erythroparvovirus 2	Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Erythroparvovirus;unclassified Erythrovirus	KT961659.1	Erythroparvovirus	unclassified Erythrovirus	KT961659.1_Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Erythroparvovirus;unclassified Erythrovirus	APC23165	KT961659.1	APC23165,AAA74974,AAA74975	APC23165__KT961659.1_Species 22
AJE25862__KP264981.1	KP264981.1_Bovine adeno-associated virus	256548	Bovine adeno-associated virus	Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Dependoparvovirus;Adeno-associated dependoparvovirus B	KP264981.1	Dependoparvovirus	Adeno-associated dependoparvovirus B	KP264981.1_Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Dependoparvovirus;Adeno-associated dependoparvovirus B	AJE25862	KP264981.1	AJE25862,YP_024970,AAR26464	AJE25862__KP264981.1_Species 46
YP_009215303__KP729195	KP729195_Rabbit bocaparvovirus	1769949	Rabbit bocaparvovirus	Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;unclassified Bocaparvovirus	KP729195	Bocaparvovirus	unclassified Bocaparvovirus	KP729195_Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;unclassified Bocaparvovirus	YP_009215303	KP729195	YP_009215303,ALT04902	YP_009215303__KP729195_Species 34
AII82250__KM017744.1	KM017744.1_Feline bocavirus	1174530	Feline bocavirus	Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;Carnivore bocaparvovirus 3	KM017744.1	Bocaparvovirus	Carnivore bocaparvovirus 3	KM017744.1_Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;Carnivore bocaparvovirus 3	AII82250	KM017744.1	AII82250	AII82250__KM017744.1_Species 14
ANX99767__KU844282.1	KU844282.1_Muscovy duck parvovirus	37325	Muscovy duck parvovirus	Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Dependoparvovirus;Anseriform dependoparvovirus 1;Duck parvovirus	KU844282.1	Dependoparvovirus	Duck parvovirus	KU844282.1_Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Dependoparvovirus;Anseriform dependoparvovirus 1;Duck parvovirus	ANX99767	KU844282.1	ANX99767,ANX99765,ANP94887,AMO03313,ANG60950,YP_068411,AER25363,AER25361,AAR92460,AAR24364,AAA83225,AAR24367,AAR24366,AAR24365,CAA52984,CAA92575,ARG42044,AIR74895,AGG53769,YP_068412,ABP93844,AAA83226,ALE30773,ALE30772	ANX99767__KU844282.1_Species 20
4GBTA__undef	undef_H-1 parvovirus	10799	H-1 parvovirus	Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Protoparvovirus;Rodent protoparvovirus 1	undef	Protoparvovirus	Rodent protoparvovirus 1	undef_Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Protoparvovirus;Rodent protoparvovirus 1	4GBTA	undef	4GBTA,4G0RA,AFR44450,P03136	4GBTA__undef_Species 19
AJE25863__KP264981.1	KP264981.1_Bovine adeno-associated virus	256548	Bovine adeno-associated virus	Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Dependoparvovirus;Adeno-associated dependoparvovirus B	KP264981.1	Dependoparvovirus	Adeno-associated dependoparvovirus B	KP264981.1_Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Dependoparvovirus;Adeno-associated dependoparvovirus B	AJE25863	KP264981.1	AJE25863,YP_024971,AAR26465	AJE25863__KP264981.1_Species 20
AGF85783__KC580640.1	KC580640.1_Canine bocavirus 3	1295080	Canine bocavirus 3	Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;unclassified Bocaparvovirus	KC580640.1	Bocaparvovirus	unclassified Bocaparvovirus	KC580640.1_Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;unclassified Bocaparvovirus	AGF85783	KC580640.1	AGF85783	AGF85783__KC580640.1_Species 14
ATV81496__MF682924.1	MF682924.1_Rhinolophus sinicus bocaparvovirus 2	2053081	Rhinolophus sinicus bocaparvovirus 2	Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;unclassified Bocaparvovirus	MF682924.1	Bocaparvovirus	unclassified Bocaparvovirus	MF682924.1_Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;unclassified Bocaparvovirus	ATV81496	MF682924.1	ATV81496,AER30017,AHK27068	ATV81496__MF682924.1_Species 31
AII82252__KM017744.1	KM017744.1_Feline bocavirus	1174530	Feline bocavirus	Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;Carnivore bocaparvovirus 3	KM017744.1	Bocaparvovirus	Carnivore bocaparvovirus 3	KM017744.1_Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;Carnivore bocaparvovirus 3	AII82252	KM017744.1	AII82252,AII82253	AII82252__KM017744.1_Species 34
ADN44563__GQ869542.1	GQ869542.1_Porcine hokovirus	494652	Porcine hokovirus	Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Tetraparvovirus;Ungulate tetraparvovirus 2	GQ869542.1	Tetraparvovirus	Ungulate tetraparvovirus 2	GQ869542.1_Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Tetraparvovirus;Ungulate tetraparvovirus 2	ADN44563	GQ869542.1	ADN44563,ADN44560	ADN44563__GQ869542.1_Species 41
AGF85785__KC580640.1	KC580640.1_Canine bocavirus 3	1295080	Canine bocavirus 3	Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;unclassified Bocaparvovirus	KC580640.1	Bocaparvovirus	unclassified Bocaparvovirus	KC580640.1_Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;unclassified Bocaparvovirus	AGF85785	KC580640.1	AGF85785	AGF85785__KC580640.1_Species 34
ATV81497__MF682925.1	MF682925.1_Rousettus leschenaultii bocaparvovirus 1	2053082	Rousettus leschenaultii bocaparvovirus 1	Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;unclassified Bocaparvovirus	MF682925.1	Bocaparvovirus	unclassified Bocaparvovirus	MF682925.1_Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;unclassified Bocaparvovirus	ATV81497	MF682925.1	ATV81497	ATV81497__MF682925.1_Species 14
AQS80393__KX981980.1	KX981980.1_Aleutian mink disease virus	28314	Aleutian mink disease virus	Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Amdoparvovirus;Carnivore amdoparvovirus 1	KX981980.1	Amdoparvovirus	Carnivore amdoparvovirus 1	KX981980.1_Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Amdoparvovirus;Carnivore amdoparvovirus 1	AQS80393	KX981980.1	AQS80393,AQS80387,AQS80384,AQS80378,AQS80372,AQS80369	AQS80393__KX981980.1_Species 7
ATV81499__MF682925.1	MF682925.1_Rousettus leschenaultii bocaparvovirus 1	2053082	Rousettus leschenaultii bocaparvovirus 1	Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;unclassified Bocaparvovirus	MF682925.1	Bocaparvovirus	unclassified Bocaparvovirus	MF682925.1_Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;unclassified Bocaparvovirus	ATV81499	MF682925.1	ATV81499	ATV81499__MF682925.1_Species 34
AIU56932__KM349848.1	KM349848.1_Adeno-associated virus	272636	Adeno-associated virus	Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Dependoparvovirus;unclassified Dependoparvovirus	KM349848.1	Dependoparvovirus	unclassified Dependoparvovirus	KM349848.1_Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Dependoparvovirus;unclassified Dependoparvovirus	AIU56932	KM349848.1	AIU56932	AIU56932__KM349848.1_Species 20
YP_005097851__JQ037754	JQ037754_Artibeus jamaicensis parvovirus 1	1131485	Artibeus jamaicensis parvovirus 1	Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;unclassified Parvovirinae	JQ037754	unclassified Parvovirinae	unclassified Parvovirinae	JQ037754_Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;unclassified Parvovirinae	YP_005097851	JQ037754	YP_005097851,AEX38015	YP_005097851__JQ037754_Species 44
ADN44566__GQ869543.1	GQ869543.1_Porcine hokovirus	494652	Porcine hokovirus	Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Tetraparvovirus;Ungulate tetraparvovirus 2	GQ869543.1	Tetraparvovirus	Ungulate tetraparvovirus 2	GQ869543.1_Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Tetraparvovirus;Ungulate tetraparvovirus 2	ADN44566	GQ869543.1	ADN44566	ADN44566__GQ869543.1_Species 41
AIU56933__KM349849.1	KM349849.1_Adeno-associated virus	272636	Adeno-associated virus	Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Dependoparvovirus;unclassified Dependoparvovirus	KM349849.1	Dependoparvovirus	unclassified Dependoparvovirus	KM349849.1_Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Dependoparvovirus;unclassified Dependoparvovirus	AIU56933	KM349849.1	AIU56933,ACN42939	AIU56933__KM349849.1_Species 20
ALT55210__KU295527.1	KU295527.1_Aleutian mink disease virus	28314	Aleutian mink disease virus	Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Amdoparvovirus;Carnivore amdoparvovirus 1	KU295527.1	Amdoparvovirus	Carnivore amdoparvovirus 1	KU295527.1_Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Amdoparvovirus;Carnivore amdoparvovirus 1	ALT55210	KU295527.1	ALT55210,ALT55208,ALT55207,ALT55205,ALT55199,ALT55198,ALT55197,ALT55195	ALT55210__KU295527.1_Species 7
AFD01602__JN798204.1	JN798204.1_Parvovirus 4-like MK-2012	1157691	Parvovirus 4-like MK-2012	Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Protoparvovirus;unclassified Protoparvovirus	JN798204.1	Protoparvovirus	unclassified Protoparvovirus	JN798204.1_Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Protoparvovirus;unclassified Protoparvovirus	AFD01602	JN798204.1	AFD01602	AFD01602__JN798204.1_Species 39
YP_005097852__JQ037754	JQ037754_Artibeus jamaicensis parvovirus 1	1131485	Artibeus jamaicensis parvovirus 1	Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;unclassified Parvovirinae	JQ037754	unclassified Parvovirinae	unclassified Parvovirinae	JQ037754_Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;unclassified Parvovirinae	YP_005097852	JQ037754	YP_005097852,AEX38016	YP_005097852__JQ037754_Species 21
ASA47653__KY994646.1	KY994646.1_Porcine parvovirus	10796	Porcine parvovirus	Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Protoparvovirus;Ungulate protoparvovirus 1	KY994646.1	Protoparvovirus	Ungulate protoparvovirus 1	KY994646.1_Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Protoparvovirus;Ungulate protoparvovirus 1	ASA47653	KY994646.1	ASA47653,P52502,ANZ52450,ANW48425,NP_757369,ADO22679,AIW62934,AHW51113,AHW51108,AHB30930,AHF27786,AHF27780,AHF27774,AHF27768,AHF27762,AHF27756,AHF27750,AGZ94855,AGZ94850,AGZ94845,AGZ94840,AFV80685,AGK90259,AFZ93390,AFR43262,AFV25452,AFK84428,AFK84427,AFK84426,AFK84425,AFK84424,AFK84423,AFK84422,AFK84421,AFB74130,AEZ57103,AEL21984,AEL21983,AEL21982,AEL21981,AEL21980,AEL21973,AEL21968,AEL21963,AEL21958,ADP88737,ADP88735,ADN94639,ADN94634,ADN94629,ADN94624,ADN94621,ADN94614,ADN94611,ADN94604,ADN94601,ADN94593,ADN94588,ADN94583,ADN94578,AAV54192,AAV54191,AAV54190,AAR91039,AAC40229,AAA46920,ADI82844,ACF39503,AAQ90279,ABG78609,AAV92686,AAV92673,ABF57235,ACF39498,ACO92360,ACO53211,ACO53208,AAS93262,ACD45683,AAV92681,AAV92662,AAU86905,P18547,BAA00501,AFV25462,AFV25460,AFV25458,AFV25456,AFV25454,AAV92680,AIW06649	ASA47653__KY994646.1_Species 8
AFD01603__JN798204.1	JN798204.1_Parvovirus 4-like MK-2012	1157691	Parvovirus 4-like MK-2012	Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Protoparvovirus;unclassified Protoparvovirus	JN798204.1	Protoparvovirus	unclassified Protoparvovirus	JN798204.1_Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Protoparvovirus;unclassified Protoparvovirus	AFD01603	JN798204.1	AFD01603	AFD01603__JN798204.1_Species 26
ABB01360__DQ196318.1	DQ196318.1_Mouse parvovirus 3	344970	Mouse parvovirus 3	Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Protoparvovirus;Rodent protoparvovirus 1	DQ196318.1	Protoparvovirus	Rodent protoparvovirus 1	DQ196318.1_Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Protoparvovirus;Rodent protoparvovirus 1	ABB01360	DQ196318.1	ABB01360,AAA61406,ACJ63478,ACJ63472,ACJ63466,ABI74615,ABB01366,ATY47675	ABB01360__DQ196318.1_Species 19
YP_009010974__KF360033	KF360033_Porcine bocavirus	1165907	Porcine bocavirus	Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;unclassified Bocaparvovirus	KF360033	Bocaparvovirus	unclassified Bocaparvovirus	KF360033_Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;unclassified Bocaparvovirus	YP_009010974	KF360033	YP_009010974,AGY46253	YP_009010974__KF360033_Species 12
ALA65285__KT192702.1	KT192702.1_Canine bocavirus	1108949	Canine bocavirus	Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;unclassified Bocaparvovirus	KT192702.1	Bocaparvovirus	unclassified Bocaparvovirus	KT192702.1_Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;unclassified Bocaparvovirus	ALA65285	KT192702.1	ALA65285	ALA65285__KT192702.1_Species 34
3J1QA__undef	undef_Adeno-associated virus	272636	Adeno-associated virus	Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Dependoparvovirus;unclassified Dependoparvovirus	undef	Dependoparvovirus	unclassified Dependoparvovirus	undef_Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Dependoparvovirus;unclassified Dependoparvovirus	3J1QA	undef	3J1QA,P03135,ASW20946,ACB55307,YP_680426,AAU05368,AAU05366,AAU05364,AAU05362,AAU05360,AAC03780,AAS99310,AAS99309,AAS99305,AAS99303,AAS99299,AAS99298,AAS99297,AAS99295,AAS99293,AAS99284,AAS99283,AAS99279,AAS99278,AAS99277,AAS99275,AAS99274,AAS99273,AAS99272,AAS99271,AAS99269,AAS99263,AAU05372,AAU05371,AAU05358,AAS99304,ASW20947,YP_680427,AAC03778,ASW20949,YP_680428,AAC03779,3J1SA,5UF6A,3J4PA	3J1QA__undef_Species 20
YP_009010977__KF360033	KF360033_Porcine bocavirus	1165907	Porcine bocavirus	Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;unclassified Bocaparvovirus	KF360033	Bocaparvovirus	unclassified Bocaparvovirus	KF360033_Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;unclassified Bocaparvovirus	YP_009010977	KF360033	YP_009010977,AGY46256	YP_009010977__KF360033_Species 31
3KIET__undef	undef_Adeno-associated virus 3B	68742	Adeno-associated virus 3B	Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Dependoparvovirus;Adeno-associated dependoparvovirus A;Adeno-associated virus - 3	undef	Dependoparvovirus	Adeno-associated virus - 3	undef_Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Dependoparvovirus;Adeno-associated dependoparvovirus A;Adeno-associated virus - 3	3KIET	undef	3KIET,3KIES,3KIER,3KIEQ,3KIEP,3KIEO,3KIEN,3KIEM,3KIEL,3KIEK,3KIEJ,3KIEI,3KIEH,3KIEG,3KIEF,3KIEE,3KIED,3KIEC,3KIEB,3KIEA,3KICT,3KICS,3KICR,3KICQ,3KICP,3KICO,3KICN,3KICM,3KICL,3KICK,3KICJ,3KICI,3KICH,3KICG,3KICF,3KICE,3KICD,3KICC,3KICB,3KICA,AAB95452,NP_043941,AAC55049,AAS99280,AKU89603,AAU05370,AAS99314,AAS99313,AAS99308,AAS99307,AAS99287,AAS99276,AAS99270,AAS99268,AAS99266,AAS99265,AAS99262,AAS99261,AAS99260,AAS99302,AAS99301,AAS99300,ABZ10812	3KIET__undef_Species 20
ALT55196__KU295513.1	KU295513.1_Aleutian mink disease virus	28314	Aleutian mink disease virus	Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Amdoparvovirus;Carnivore amdoparvovirus 1	KU295513.1	Amdoparvovirus	Carnivore amdoparvovirus 1	KU295513.1_Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Amdoparvovirus;Carnivore amdoparvovirus 1	ALT55196	KU295513.1	ALT55196	ALT55196__KU295513.1_Species 7
AGL09954__KC339250.1	KC339250.1_Bat bocavirus	1329649	Bat bocavirus	Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;unclassified Bocaparvovirus	KC339250.1	Bocaparvovirus	unclassified Bocaparvovirus	KC339250.1_Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;unclassified Bocaparvovirus	AGL09954	KC339250.1	AGL09954,AGL09955	AGL09954__KC339250.1_Species 34
AGM20661__KC701355.1	KC701355.1_Porcine parvovirus 4	707546	Porcine parvovirus 4	Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Copiparvovirus;Ungulate copiparvovirus 2	KC701355.1	Copiparvovirus	Ungulate copiparvovirus 2	KC701355.1_Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Copiparvovirus;Ungulate copiparvovirus 2	AGM20661	KC701355.1	AGM20661,AGM20659,AGM20657,AGM20653,AGM20651,AGM20650,AGM20647,AGM20645,AGM20644,AGM20643,AGM20641,AGM20640	AGM20661__KC701355.1_Species 24
ARJ58621__KY038922.1	KY038922.1_Canine bocavirus	1108949	Canine bocavirus	Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;unclassified Bocaparvovirus	KY038922.1	Bocaparvovirus	unclassified Bocaparvovirus	KY038922.1_Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;unclassified Bocaparvovirus	ARJ58621	KY038922.1	ARJ58621,AKG54784,AKG54762,AKG54757,AIK02195,AKG54796,AKG54779,AKG54767,AKG54790,AKG54773,YP_007518454,AES86015,AFH96896,AFH96890,AFH96884,AFH96902	ARJ58621__KY038922.1_Species 14
AIY27461__KM402137.1	KM402137.1_Porcine bocavirus	1165907	Porcine bocavirus	Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;unclassified Bocaparvovirus	KM402137.1	Bocaparvovirus	unclassified Bocaparvovirus	KM402137.1_Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;unclassified Bocaparvovirus	AIY27461	KM402137.1	AIY27461,AHK26968,AHK27043,AEF33728	AIY27461__KM402137.1_Species 31
AGL09956__KC339250.1	KC339250.1_Bat bocavirus	1329649	Bat bocavirus	Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;unclassified Bocaparvovirus	KC339250.1	Bocaparvovirus	unclassified Bocaparvovirus	KC339250.1_Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;unclassified Bocaparvovirus	AGL09956	KC339250.1	AGL09956	AGL09956__KC339250.1_Species 14
ALR74754__KT965075.1	KT965075.1_Protoparvovirus Zsana/2013/HUN	1755694	Protoparvovirus Zsana/2013/HUN	Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Protoparvovirus;unclassified Protoparvovirus	KT965075.1	Protoparvovirus	unclassified Protoparvovirus	KT965075.1_Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Protoparvovirus;unclassified Protoparvovirus	ALR74754	KT965075.1	ALR74754,AMY15605	ALR74754__KT965075.1_Species 8
AQR59072__KX084399.1	KX084399.1_Chicken parvovirus	1136878	Chicken parvovirus	Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Aveparvovirus;Galliform aveparvovirus 1	KX084399.1	Aveparvovirus	Galliform aveparvovirus 1	KX084399.1_Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Aveparvovirus;Galliform aveparvovirus 1	AQR59072	KX084399.1	AQR59072,AQR59069,AQR59065,AQR59060,AKA44576,AKA44572,AKA44568,AKA44564,AKA44560,YP_009046828,ADD22711,AQR59113,AQR59098,AQR59095,AQR59084,AQR59114,AQR59099,AQR59094,AQR59085,AQR59073,AQR59070,AQR59066,AQR59061,YP_009046829,ADD22712	AQR59072__KX084399.1_Species 28
AGL09957__KC339251.1	KC339251.1_Bat bocavirus	1329649	Bat bocavirus	Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;unclassified Bocaparvovirus	KC339251.1	Bocaparvovirus	unclassified Bocaparvovirus	KC339251.1_Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;unclassified Bocaparvovirus	AGL09957	KC339251.1	AGL09957,AIF74217	AGL09957__KC339251.1_Species 14
YP_008802582__KF792837	KF792837_Feline bocavirus 2	1417756	Feline bocavirus 2	Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;unclassified Bocaparvovirus	KF792837	Bocaparvovirus	unclassified Bocaparvovirus	KF792837_Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;unclassified Bocaparvovirus	YP_008802582	KF792837	YP_008802582,AGZ93687,YP_008802583,AGZ93688	YP_008802582__KF792837_Species 34
